,ResponseId,LocationLatitude,LocationLongitude,Sex,Age,EDuc,Etnia,Q69,Q70,Identity Fusion_1,Identity Fusion_2,Identity Fusion_3,Identity Fusion_4,Identity Fusion_5,Identity Fusion_6,Identity Fusion_7,Region,IdPol,IdF_1,IdF_2,IdF_3,IdF_4,IdF_5,IdF_6,IdF_7,OriPol_1,IdPolUribe_1,IdPolUribe_2,IdPolUribe_3,IdPolUribe_4,IdPolUribe_5,IdPolUribe_6,IdPolUribe_7,IdPolUribe_8,CollUnc_1,CollUnc_2,CollUnc_3,CollUnc_4,SRW_1,SRW_2,SRW_3,Q74_1,Q74_2,Q74_3,Q71_1,Q71_2,Q71_3,Q75_1,Q75_2,Q75_3,Q73_1,Q73_2,InterGcontact_1,InterGcontact_2,InterGcontact_3,InterGcontact_4,InterGcontact_5,InterGcontact_6,InterGcontact_7,NormSoc_1,NormSoc_2,NormSoc_3,NormSoc_4,NormSoc_5,Salment_1,Salment_2,Salment_3,Salment_4,Salment_5,Salment_6,Salment_7,SatVida_1,SatVida_2,SatVida_3,SatVida_4,SatVida_5,O-C-Test_1,O-C-Test2_1,O-C-T3_1,O-C-T4_1,O-C-T5_1,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,ActRadic_1,ActRadic_2,ActRadic_3,Q76_1,Q76_2,Q76_3,Q72_1,Q72_2,Q72_3,Q72_4,Q78_1,Q78_2,Q78_3,Q78_4,Deshum_1,Deshum_2,Deshum_3,Q63,Q64,Duration in minutes,minutes_per_question
88,R_1kLcWuTC7wCd3kf,3.4129,-76.5191,1,35,5,4,CALI,VALLE DEL CAUCA,2.0,0.0,1.0,1,2.0,2.0,1.0,De otra región. Cuàl?,1,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,1.0,7.0,3.0,7.0,7.0,5.0,7.0,7.0,7.0,1.0,7.0,5.0,7.0,7.0,3,0.0,2.0,6,2.0,4,1,9.0,30.0,40.0,11.0,20.0,2,1.0,0,1.0,0.0,2.0,0.0,7.0,7.0,7.0,5.0,7.0,2,2,1.0,2.0,2,1,0.0,0,0,0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,5.0,7.0,1.0,7.0,5.0,7.0,71.0,94.0,48.0,1,2,56.13333333333333,0.35753715498938426
253,R_3lS6rYyZtlfoUM0,3.4129,-76.5191,1,55,4,0,CALI,VALLE DEL CAUCA,5.0,5.0,5.0,5,5.0,5.0,5.0,De otra región. Cuàl?,0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,4,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0,5.0,5.0,7.0,5.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,3.0,3.0,5.0,4,4.0,4.0,4,3.0,3,3,54.0,52.0,53.0,52.0,52.0,0,0.0,0,0.0,0.0,1.0,0.0,7.0,5.0,5.0,5.0,5.0,0,0,0.0,0.0,0,0,0.0,0,0,0,3.0,7.0,3.0,3.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,18.0,18.0,15.0,3,3,25.533333333333335,0.1626326963906582
255,R_2zoHnCAn6RAEMZ3,4.6913,-74.032,1,34,5,3,CALI,VALLE DEL CAUCA,5.0,7.0,7.0,5,7.0,7.0,7.0,Valluno,1,4.0,7.0,4.0,7.0,7.0,7.0,7.0,1,5.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6,0.0,0.0,4,4.0,4,4,100.0,93.0,82.0,0.0,100.0,0,0.0,0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0,0,0.0,0.0,0,0,0.0,0,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,5,12.7,0.08089171974522293
256,R_1dKXNeYwm48UtUJ,3.4129,-76.5191,1,55,4,0,CALI,VALLE DEL CAUCA,5.0,5.0,5.0,5,5.0,1.0,4.0,De otra región. Cuàl?,7,3.0,3.0,3.0,3.0,7.0,7.0,7.0,4,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,7.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,7.0,5.0,5.0,2,2.0,2.0,2,2.0,2,2,81.0,60.0,65.0,69.0,67.0,0,0.0,0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0,0,0.0,4.0,0,0,0.0,0,4,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,17.0,19.0,24.0,3,3,37.63333333333333,0.2397027600849257
261,R_3staFjzi5giVh5F,3.4129,-76.5191,1,46,4,0,CALI,VALLE DEL CAUCA,5.0,5.0,6.0,6,5.0,5.0,5.0,De otra región. Cuàl?,5,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2,0.0,0.0,3.0,3.0,0.0,7.0,3.0,3.0,7.0,7.0,7.0,7.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,3.0,7.0,7.0,5.0,3.0,7.0,6,6.0,6.0,6,6.0,6,6,0.0,50.0,100.0,100.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,5.0,3.0,7.0,3.0,3.0,0,0,0.0,4.0,1,0,0.0,0,0,0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,100.0,50.0,100.0,1,2,123.6,0.7872611464968152
478,R_OOjYJoHT9WqsrEB,4.6457,-74.0901,1,38,4,4,CALI,VALLE DEL CAUCA,4.0,4.0,5.0,4,4.0,3.0,5.0,Valluno,6,5.0,3.0,4.0,3.0,3.0,2.0,4.0,3,7.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,7.0,7.0,5.0,3.0,7.0,5.0,7.0,3.0,3.0,7.0,7.0,7.0,7.0,3.0,7.0,1.0,7.0,0,3.0,1.0,2,0.0,0,2,70.0,50.0,51.0,100.0,79.0,6,0.0,5,1.0,4.0,0.0,0.0,7.0,1.0,7.0,7.0,7.0,0,2,2.0,2.0,1,0,1.0,2,2,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,100.0,100.0,41.0,0,1,77.45,0.493312101910828
526,R_1JIoNlRNkrdR0Yx,4.6115,-74.0833,1,34,5,3,CALI,VALLE DEL CAUCA,0.0,7.0,1.0,1,1.0,5.0,5.0,Valluno,5,7.0,7.0,5.0,5.0,5.0,5.0,5.0,2,0.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,7.0,0.0,0,7.0,5,3,87.0,60.0,36.0,18.0,19.0,0,7.0,1,7.0,3.0,4.0,5.0,1.0,1.0,1.0,5.0,5.0,0,0,0.0,0.0,0,0,0.0,0,2,3,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,18.0,12.0,0.0,1,2,13.133333333333333,0.08365180467091295
699,R_1IHsibnCUgCT6sD,3.4129,-76.5191,0,60,0,1,CALI,VALLE DEL CAUCA,2.0,6.0,6.0,4,5.0,2.0,5.0,Antioqueño,6,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1,5.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,7.0,7.0,5.0,5.0,7.0,5.0,5.0,7.0,7.0,5.0,7.0,7.0,3.0,5.0,7.0,7.0,7.0,7.0,2,2.0,3.0,2,3.0,3,4,70.0,60.0,53.0,89.0,77.0,1,0.0,0,3.0,0.0,0.0,0.0,5.0,5.0,7.0,5.0,5.0,1,1,1.0,2.0,1,1,1.0,1,3,1,1.0,1.0,7.0,1.0,1.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,96.0,92.0,92.0,5,3,31.6,0.20127388535031848
730,R_1OEaUWwE0uVWxAg,3.4129,-76.5191,0,37,5,1,CALI,VALLE DEL CAUCA,5.0,5.0,5.0,2,2.0,0.0,1.0,Valluno,4,3.0,3.0,2.0,3.0,5.0,1.0,4.0,1,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,5.0,7.0,7.0,7.0,7.0,5.0,3.0,7.0,5.0,5.0,5.0,7.0,3.0,5.0,5.0,5.0,7.0,5.0,4,5.0,2.0,4,2.0,2,2,69.0,95.0,97.0,46.0,86.0,0,0.0,0,6.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,3.0,0,0,0.0,3.0,0,0,0.0,0,0,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,75.0,75.0,100.0,2,5,23.1,0.14713375796178346
731,R_bjXl3fp6r51FRrX,3.4129,-76.5191,1,36,5,1,CALI,VALLE DEL CAUCA,6.0,6.0,6.0,5,4.0,3.0,1.0,Valluno,5,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,4.0,2.0,2,2.0,2,4,0.0,0.0,16.0,19.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,7.0,0,1,2.0,4.0,1,0,2.0,2,2,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,80.0,50.0,1,2,28.816666666666666,0.1835456475583864
738,R_Op6QsNgCPq6PQCR,3.4129,-76.5191,0,44,0,1,CALI,VALLE DEL CAUCA,6.0,6.0,6.0,6,5.0,6.0,5.0,Valluno,6,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,5.0,7.0,1.0,7.0,5.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5,5.0,4.0,5,5.0,5,5,97.0,100.0,100.0,98.0,99.0,0,0.0,0,5.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,0,0,0.0,0.0,0,0,0.0,0,0,0,7.0,7.0,1.0,7.0,7.0,7.0,5.0,3.0,5.0,5.0,7.0,7.0,7.0,7.0,100.0,19.0,51.0,0,1,36.45,0.23216560509554143
739,R_1rjFYyLaYeYyxlB,3.4129,-76.5191,1,47,5,4,CALI,VALLE DEL CAUCA,2.0,4.0,4.0,2,4.0,0.0,2.0,Valluno,6,7.0,7.0,7.0,5.0,5.0,5.0,5.0,3,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,5.0,7.0,1.0,5.0,7.0,7.0,1.0,5.0,1,1.0,2.0,4,3.0,2,1,82.0,50.0,86.0,91.0,46.0,1,0.0,0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,7.0,0,0,0.0,0.0,0,0,0.0,0,0,0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,100.0,11.0,91.0,0,1,36.85,0.23471337579617835
748,R_2P6Yy7DaAxlA2my,3.4129,-76.5191,1,47,5,4,CALI,VALLE DEL CAUCA,2.0,4.0,4.0,2,4.0,4.0,4.0,Valluno,6,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,5.0,1,1.0,2.0,2,1.0,1,3,86.0,81.0,51.0,87.0,50.0,0,0.0,0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,7.0,0,0,0.0,0.0,0,0,0.0,0,0,0,7.0,1.0,1.0,5.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,100.0,15.0,67.0,0,1,15.733333333333333,0.10021231422505307
750,R_1EiiJPhgfT2lvOq,3.4129,-76.5191,0,43,3,4,CALI,VALLE DEL CAUCA,0.0,5.0,5.0,5,5.0,5.0,5.0,Valluno,4,5.0,4.0,4.0,2.0,4.0,4.0,4.0,3,5.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,2,0.0,2.0,2,0.0,0,0,9.0,8.0,11.0,100.0,18.0,0,0.0,0,2.0,0.0,2.0,0.0,5.0,5.0,5.0,7.0,5.0,0,0,0.0,3.0,0,0,0.0,0,3,0,5.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,100.0,100.0,8.0,5,4,18.383333333333333,0.11709129511677283
